_id,GEOIDFQ,OBJECTID,agency,change_log,comments,county,direction,empty_feat,end_date,feed_version,from_gtfs,hood,mode,muni,munihood_display,munihood_full,route_code,route_filter,route_sort,start_date,status_code,status_end_date,status_notes,status_start_date,stop_code,stop_id,stop_lat,stop_lon,stop_name,stop_route,svc_days,trips_7d,trips_sa,trips_su,trips_wd,geometry
2837,1000000US420034190001044,312373,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Harmar township (Allegheny, PA)",Harmar twp,"Harmar twp, Allegheny County","1,P10",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,12787,N22580,40.540421,-79.811831,FREEPORT RD OPP ORR AVE,N22580,"WD,SA,SU",218,19,19,36,POINT (600618.8234080518595874 4488419.6466044569388032)
2838,1000000US420034190001044,312376,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Harmar township (Allegheny, PA)",Harmar twp,"Harmar twp, Allegheny County","1,P10",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,12785,N22590,40.540734,-79.816466,FREEPORT RD OPP PEARL AVE,N22590,"WD,SA,SU",218,19,19,36,POINT (600225.8380275007802993 4488449.1097531951963902)
2839,1000000US420034160002002,312379,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Springdale township (Allegheny, PA)",Springdale twp,"Springdale twp, Allegheny County","1,P10",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,12807,N22650,40.546179,-79.770383,FREEPORT RD OPP RIDDLE RUN RD,N22650,"WD,SA,SU",218,19,19,36,POINT (604119.9685499755432829 4489106.9562390474602580)
2840,1000000US420034040001019,312382,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"East Deer township (Allegheny, PA)",East Deer twp,"East Deer twp, Allegheny County","1,P10",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,12645,N22670,40.58365,-79.77795,FREEPORT RD AT ROWE'S CROSSING,N22670,"WD,SA,SU",223,19,19,37,POINT (603421.5023527238518000 4493257.5128982178866863)
2841,1000000US420034211004010,312385,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"O'Hara township (Allegheny, PA)",O'Hara twp,"O'Hara twp, Allegheny County","1,75,91",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,17356,N22680,40.4874,-79.884395,FREEPORT RD OPP #1050,N22680,"WD,SA,SU",816,75,71,134,POINT (594548.1477314279181883 4482453.8215814242139459)
2842,1000000US420034211004011,312389,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"O'Hara township (Allegheny, PA)",O'Hara twp,"O'Hara twp, Allegheny County","1,75,91",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,3197,N22690,40.488158,-79.879419,FREEPORT RD OPP #1150,N22690,"WD,SA,SU",580,45,40,99,POINT (594968.8064439983572811 4482543.3059460418298841)
2843,1000000US420034040001042,312393,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"East Deer township (Allegheny, PA)",East Deer twp,"East Deer twp, Allegheny County","1,P10",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,12809,N22700,40.56787,-79.776113,FREEPORT RD OPP #153,N22700,"WD,SA,SU",218,19,19,36,POINT (603601.3121933457441628 4491508.0092455092817545)
2844,1000000US420034172001016,312396,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Springdale borough (Allegheny, PA)",Springdale bgh,"Springdale bgh, Allegheny County","1,P10",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,12803,N22760,40.54138,-79.777912,PITTSBURGH ST OPP SCHOOL ST,N22760,"WD,SA,SU",218,19,19,36,POINT (603489.8091381855774671 4488565.3764752214774489)
2845,1000000US420034211003021,312399,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"O'Hara township (Allegheny, PA)",O'Hara twp,"O'Hara twp, Allegheny County",1,All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,12596,N22770,40.488762,-79.877214,FREEPORT RD OPP S OAK HILL RD,N22770,"WD,SA,SU",193,19,19,31,POINT (595154.8299544417532161 4482612.7274961313232780)
2846,1000000US420034190001044,312401,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Harmar township (Allegheny, PA)",Harmar twp,"Harmar twp, Allegheny County","1,P10",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,12784,N22780,40.540913,-79.818825,FREEPORT RD OPP #1101 (MULLIGAN'S),N22780,"WD,SA,SU",218,19,19,36,POINT (600025.7988370610401034 4488466.2995621059089899)
848,1000000US420035041004028,306855,PRT,,,"Allegheny County, PA","IB,OB",0,2099-12-31T06:00:00,2602,1,,BUS,"North Versailles township (Allegheny, PA)",North Versailles twp,"North Versailles twp, Allegheny County","55,P76",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,10748,E36460,40.386925,-79.827746,LINCOLN HWY OPP LINCOLN SQ SR CITIZEN HOME,E36460,"WD,SA,SU",150,15,15,24,POINT (599497.3115778013598174 4471363.1051707873120904)
2848,1000000US420034190001082,312408,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Harmar township (Allegheny, PA)",Harmar twp,"Harmar twp, Allegheny County","1,P16,P78",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,12617,N22790,40.535264,-79.842571,FREEPORT RD OPP VALLEY MOTEL,N22790,"WD,SA,SU",318,19,19,56,POINT (598023.0999778369441628 4487812.5581988925114274)
847,1000000US420035644004011,306853,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"North Versailles township (Allegheny, PA)",North Versailles twp,"North Versailles twp, Allegheny County",P76,All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,11138,E36450,40.373025,-79.792726,LINCOLN HWY OPP MCKEE RD,E36450,WD,40,0,0,8,POINT (602490.8371845753863454 4469860.1834422023966908)
2850,1000000US420034230003025,312416,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Aspinwall borough (Allegheny, PA)",Aspinwall bgh,"Aspinwall bgh, Allegheny County","1,75,91",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,3304,N22810,40.490614,-79.907452,FREEPORT RD OPP WESTERN AVE,N22810,"WD,SA,SU",817,76,71,134,POINT (592589.5983086910564452 4482786.1325429305434227)
2851,1000000US420034190001044,312420,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Harmar township (Allegheny, PA)",Harmar twp,"Harmar twp, Allegheny County","1,P10",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,12788,N22820,40.540578,-79.809571,FREEPORT RD OPP WILSON AVE,N22820,"WD,SA,SU",218,19,19,36,POINT (600809.9780303586740047 4488439.6568705337122083)
2852,1000000US420034040001020,312423,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"East Deer township (Allegheny, PA)",East Deer twp,"East Deer twp, Allegheny County","1,P10",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,12642,N22830,40.593011,-79.770861,FREEPORT RD OPP WORKS ENTRANCE #3,N22830,"WD,SA,SU",223,19,19,37,POINT (604006.9495684615103528 4494304.9856500700116158)
2854,1000000US420034297002013,312428,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"Ross township (Allegheny, PA)",Ross twp,"Ross twp, Allegheny County",17,All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,1717,N23584,40.48967,-80.044536,BRIGHTON RD AT GIANT EAGLE LOWER LOT,N23584,"WD,SA,SU",205,18,22,33,POINT (580973.1630129506811500 4482546.5114250695332885)
2855,1000000US420034250002000,312430,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"Etna borough (Allegheny, PA)",Etna bgh,"Etna bgh, Allegheny County","2,P13",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,3360,N23970,40.508183,-79.951881,GRANT AVE AT BYERLEY AVE,N23970,"WD,SA,SU",120,8,7,21,POINT (588801.1571090850047767 4484690.6625306541100144)
